Model,AUC,AP
GCN,0.9722222222222223,0.976190476190476
GCN,0.5306122448979591,0.5515262515262515
GCN,0.673469387755102,0.6432496075353218
GCN,0.8765432098765432,0.9185185185185185
GCN,0.75,0.8501683501683501
GAT,0.75,0.8541666666666665
GAT,0.5102040816326532,0.6086691086691087
GAT,0.4285714285714286,0.5148740148740149
GAT,0.7592592592592593,0.8120250120250121
GAT,0.5277777777777778,0.5896464646464646
SAGE,0.9722222222222223,0.976190476190476
SAGE,0.4489795918367347,0.5190999476713762
SAGE,0.7551020408163265,0.6782312925170068
SAGE,0.8765432098765432,0.8911206077872746
SAGE,0.8611111111111112,0.9055555555555554
